Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brazil,370,403,507,701,878,1008,1163,1322,1466,1579,1584,1807,1933,1330,1322,1386,1632,1754,1922,2566,2731,2496,2351,2594,3641,4802,5161,5272,5029,3448,3732,3165,2852,3074,3637,4790,5886,7348,8831,8598,11286,13245,12370,12300,12113,8814,8710,9925,9001,8755
Brunei Darussalam,1736,1829,2395,3663,8695,9079,10627,12456,13458,18771,31930,27417,25991,22769,21775,19717,11686,13048,12068,13156,15077,15406,16929,16151,15647,17655,18607,18458,14061,15623,19959,18252,18671,20566,24268,28926,34327,36192,42034,30977,35269,47054,47742,44741,41725,31164,27156,28572,31627,31086
Bulgaria,1058,1040,1209,1434,1551,1363,1439,1467,1584,1061,1220,1397,1513,1622,1735,1837,1953,2125,2448,2471,2344,958,1092,1391,1262,2267,1483,1378,1847,1690,1656,1788,2085,2709,3378,3886,4505,5861,7235,6958,6783,7774,7365,7626,7851,7032,7520,8300,9388,9703
Burkina Faso,90,90,113,129,139,163,153,181,229,300,319,288,258,230,200,228,292,331,356,346,400,394,410,381,219,268,283,261,291,300,255,267,293,374,418,458,473,534,641,622,647,750,758,787,792,653,688,735,813,787
Burundi,71,72,69,85,95,112,121,141,155,196,229,233,239,246,218,247,252,231,211,213,211,210,191,168,181,167,143,159,144,129,111,102,94,86,95,152,167,172,198,211,234,250,252,257,275,277,279,297,276,260
Cabo Verde,272,303,342,424,426,496,461,429,489,517,570,549,544,525,491,503,685,836,926,922,1037,1055,1146,1123,1236,1444,1452,1388,1449,1614,1432,1470,1594,2057,2302,2387,2686,3187,3721,3517,3378,3738,3467,3617,3585,3042,3131,3293,3616,3604
Cambodia,110,107,104,87,89,96,103,96,106,103,107,116,120,126,132,137,141,170,199,200,189,242,249,244,259,311,319,305,270,296,302,322,339,363,409,474,540,632,746,738,786,882,951,1016,1093,1163,1270,1385,1512,1644
Cameroon,202,221,277,367,381,487,516,586,749,968,1170,1065,1036,1048,1001,953,1129,1192,1129,1009,1088,1014,1004,1032,582,709,739,688,722,717,648,654,720,877,989,1012,1062,1194,1372,1315,1285,1403,1355,1465,1541,1326,1364,1425,1534,1502
Canada,4175,4639,5200,5937,7116,7591,8946,9055,9245,10161,11305,12455,12628,13581,14020,14224,14535,16386,19002,20869,21643,21963,21059,20284,20094,20777,21408,22022,21119,22388,24348,23931,24397,28442,32270,36474,40549,44603,46582,40734,47361,51907,52365,52334,50570,43194,42004,44907,46444,46550
Central African Republic,152,160,180,209,213,282,330,363,427,478,529,459,418,357,332,356,452,475,491,470,537,501,499,439,284,362,319,289,291,294,263,262,273,307,336,350,373,418,476,475,488,551,566,380,424,377,402,451,476,468
Chad,98,104,106,114,130,184,169,168,196,173,175,201,184,192,202,194,232,255,288,264,307,296,298,252,198,234,253,234,257,216,189,224,251,330,516,662,713,776,927,815,918,1048,1095,1044,1061,828,714,692,735,707
Chile,989,1165,1238,1737,1657,759,1021,1363,1547,2052,2690,3180,2241,1823,1782,1549,1640,1885,2165,2429,2630,2957,3515,3673,4139,5222,5413,5836,5523,5017,5108,4605,4469,4800,6198,7599,9465,10502,10751,10209,12808,14637,15352,15843,14671,13574,13754,14999,15925,14896
China,112,118,131,156,159,176,163,183,225,267,306,286,276,292,296,288,274,293,358,394,335,347,409,508,459,592,690,762,809,854,939,1031,1125,1262,1478,1718,2056,2638,3394,3748,4447,5486,6164,6876,7486,7863,7944,8663,9733,10004
Colombia,471,500,542,627,737,764,875,1087,1269,1491,1743,1859,1947,1894,1832,1636,1605,1637,1730,1711,1709,1716,1801,2045,2648,3009,3104,3350,3042,2621,2504,2424,2381,2267,2765,3414,3741,4714,5473,5193,6337,7335,8050,8218,8114,6176,5871,6377,6717,6432
Comoros,163,177,204,267,294,444,424,452,564,727,841,754,686,695,652,675,931,1093,1121,1042,1241,1213,1271,1222,837,1016,983,880,871,877,778,820,897,1127,1276,1287,1335,1238,1388,1339,1315,1446,1403,1505,1512,1242,1272,1324,1416,1370
Congo,214,238,277,359,421,481,485,470,567,749,1038,1179,1241,1170,1189,1138,947,1145,1073,1144,1304,1300,1229,1094,704,815,951,845,680,808,1074,906,952,1070,1381,1753,2153,2263,2892,2291,3200,3742,3923,3884,3749,2420,2038,2155,2548,2304
Cook Islands,524,525,546,715,856,858,833,1000,1202,1411,1590,1657,1661,1634,1686,1749,2241,2835,3590,3602,3990,4296,4378,4832,5691,6052,6151,5742,5102,5545,5576,5826,6638,8958,10302,10443,10736,11929,11981,11588,13093,14948,16622,16217,18057,17183,17682,19741,20705,21603
Costa Rica,678,722,810,976,1038,1191,1428,1772,1978,2206,2571,1359,1314,1543,1747,1823,1993,1998,1982,2187,2328,2239,2595,2828,3016,3246,3199,3375,3579,3653,3773,3945,4025,4130,4385,4656,5201,6072,6859,6760,8142,9122,9913,10490,10547,11299,11666,11815,12112,12238
